"","rep","scenario","time","biomass"
"1",1,"Status_quo",2001,73122.6780101568
"2",2,"Status_quo",2001,64876.4799163521
"3",3,"Status_quo",2001,95086.7544113332
"4",4,"Status_quo",2001,22196.2316305317
"5",5,"Status_quo",2001,59733.327528953
"6",6,"Status_quo",2001,17279.7587423201
"7",7,"Status_quo",2001,45275.7269015527
"8",8,"Status_quo",2001,40706.1334999445
"9",9,"Status_quo",2001,7815.93801484843
"10",10,"Status_quo",2001,45900.6305972998
"11",11,"Status_quo",2001,35473.588769424
"12",12,"Status_quo",2001,81880.9352468124
"13",13,"Status_quo",2001,78982.2063618657
"14",14,"Status_quo",2001,8774.78858029039
"15",15,"Status_quo",2001,229023.70881101
"16",16,"Status_quo",2001,83711.2179572136
"17",17,"Status_quo",2001,262611.86337316
"18",18,"Status_quo",2001,33428.4781136481
"19",19,"Status_quo",2001,41820.0438873589
"20",20,"Status_quo",2001,42003.7409264501
"21",21,"Status_quo",2001,100044.863750494
"22",22,"Status_quo",2001,56218.6458195873
"23",23,"Status_quo",2001,38432.7007461765
"24",24,"Status_quo",2001,37238.0141695742
"25",25,"Status_quo",2001,58400.071704054
"26",26,"Status_quo",2001,51097.3146489785
"27",27,"Status_quo",2001,28889.4257082329
"28",28,"Status_quo",2001,13078.1910553935
"29",29,"Status_quo",2001,31336.5622483541
"30",30,"Status_quo",2001,296990.105355719
"31",31,"Status_quo",2001,63158.89129064
"32",32,"Status_quo",2001,23442.0902659396
"33",33,"Status_quo",2001,26887.8501995154
"34",34,"Status_quo",2001,29622.1524344529
"35",35,"Status_quo",2001,29622.1524344529
"36",36,"Status_quo",2001,8996.95518437552
"37",37,"Status_quo",2001,42262.3387276717
"38",38,"Status_quo",2001,29622.1524344529
"39",39,"Status_quo",2001,8996.95518437552
"40",40,"Status_quo",2001,42262.3387276717
"41",41,"Status_quo",2001,8742.95711477754
"42",42,"Status_quo",2001,81444.9374882088
"43",43,"Status_quo",2001,114065.310067703
"44",44,"Status_quo",2001,30392.5228900062
"45",45,"Status_quo",2001,31094.6916472047
"46",46,"Status_quo",2001,37161.5505711755
"47",47,"Status_quo",2001,56450.8700918826
"48",48,"Status_quo",2001,37323.455298805
"49",49,"Status_quo",2001,32847.614667646
"50",50,"Status_quo",2001,32806.2033991607
"51",51,"Status_quo",2001,38455.7040519297
"52",52,"Status_quo",2001,91417.3968566465
"53",53,"Status_quo",2001,40910.5832831853
"54",54,"Status_quo",2001,59425.8385251748
"55",55,"Status_quo",2001,20989.4111224608
"56",56,"Status_quo",2001,18193.3421919226
"57",57,"Status_quo",2001,7584.29134238109
"58",58,"Status_quo",2001,47770.5000320268
"59",59,"Status_quo",2001,24341.5130795186
"60",60,"Status_quo",2001,29384.7680356201
"61",61,"Status_quo",2001,142533.612440244
"62",62,"Status_quo",2001,29622.1524344529
"63",63,"Status_quo",2001,46308.4107710795
"64",64,"Status_quo",2001,47943.989493391
"65",65,"Status_quo",2001,28024.1653932756
"66",66,"Status_quo",2001,36439.9314950226
"67",67,"Status_quo",2001,56331.5830067156
"68",68,"Status_quo",2001,55805.6489197964
"69",69,"Status_quo",2001,39413.008828787
"70",70,"Status_quo",2001,29622.1524344529
"71",71,"Status_quo",2001,8996.95518437552
"72",72,"Status_quo",2001,42262.3387276717
